time,value,group,percentage
01/03/2011,109096.6,B,0.050204363
01/03/2011,302173.7,C,0.139055094
01/03/2011,13489.1,D,0.00620745
01/03/2011,45179.7,E,0.020790914
01/03/2011,2809.6,F,0.001292929
01/04/2011,1707607.3,A,0.772361036
01/04/2011,133567.3,B,0.060413292
01/04/2011,310818.7,C,0.140585165
01/04/2011,13502.9,D,0.006107443
01/04/2011,45396.4,E,0.020533064
01/04/2011,2782.8,F,0.001258677
01/05/2011,1724683.9,A,0.775292601
01/05/2011,131514,B,0.059119141
01/05/2011,307369.6,C,0.138171045
01/05/2011,13192,D,0.005930165
01/05/2011,47799.2,E,0.021487048
01/05/2011,3005.3,F,0.001350965
01/06/2011,1737862.6,A,0.781319836
01/06/2011,129172.4,B,0.058074187
01/06/2011,289891.8,C,0.130331485
01/06/2011,13151.2,D,0.005912604
01/06/2011,54187.2,E,0.024361842
01/06/2011,2842.7,F,0.00127804
01/07/2011,1762720.6,A,0.783108772
01/07/2011,131925.1,B,0.058609233
01/07/2011,291006,C,0.129282741
01/07/2011,13166,D,0.005849146
01/07/2011,52109.2,E,0.023150108
01/07/2011,3068.2,F,0.001363083
01/08/2011,1783340.3,A,0.782749878
01/08/2011,133745.2,B,0.058703905
01/08/2011,300566,C,0.131925466
01/08/2011,12855.5,D,0.00564258
01/08/2011,47794.6,E,0.020978171
01/08/2011,2993.6,F,0.001313961
01/09/2011,1829522.7,A,0.783520996
01/09/2011,135742.8,B,0.058133924
01/09/2011,300798.2,C,0.128821416
01/09/2011,12814.8,D,0.005488134
01/09/2011,56123,E,0.024035531
01/09/2011,2751,F,0.001178158
01/10/2011,1834775.7,A,0.785944658
01/10/2011,134095.3,B,0.057441073
01/10/2011,302763.8,C,0.129691924
01/10/2011,12825.3,D,0.005493846
01/10/2011,50024.5,E,0.021428499
01/10/2011,3242.8,F,0.001389086
01/11/2011,1876037.2,A,0.784365055
01/11/2011,144182,B,0.060282025
01/11/2011,309353.6,C,0.129339735
01/11/2011,12520.1,D,0.005234613
01/11/2011,49698,E,0.020778572
01/11/2011,3332.6,F,0.001393349
01/12/2011,1912494.6,A,0.776962945
01/12/2011,167929,B,0.068222211
01/12/2011,323437.6,C,0.131398557
01/12/2011,9362.3,D,0.003803493
01/12/2011,48276.9,E,0.019612794
